market_hash_name,base_name,wear,min_price,suggested_price,mean_price,quantity,weapon,collection,rarity,float_min,float_max,tradeup_to
AK-47 | Aquamarine Revenge (Battle-Scarred),AK-47 | Aquamarine Revenge,Battle-Scarred,25.35,32.5,43.67,18,AK-47,The Falchion Collection,Covert,0.0,1.0,
AK-47 | Emerald Pinstripe (Factory New),AK-47 | Emerald Pinstripe,Factory New,10.74,12.62,36.06,37,AK-47,The Bank Collection,Restricted,0.0,1.0,Classified
AK-47 | Emerald Pinstripe (Field-Tested),AK-47 | Emerald Pinstripe,Field-Tested,2.6,3.01,10.88,203,AK-47,The Bank Collection,Restricted,0.0,1.0,Classified
AK-47 | Emerald Pinstripe (Minimal Wear),AK-47 | Emerald Pinstripe,Minimal Wear,3.79,4.86,22.45,97,AK-47,The Bank Collection,Restricted,0.0,1.0,Classified
AK-47 | Emerald Pinstripe (Well-Worn),AK-47 | Emerald Pinstripe,Well-Worn,5.07,2.63,12.76,23,AK-47,The Bank Collection,Restricted,0.0,1.0,Classified
AK-47 | Fire Serpent (Battle-Scarred),AK-47 | Fire Serpent,Battle-Scarred,545.8,615.58,591.71,11,AK-47,The Bravo Collection,Covert,0.06,0.76,
AK-47 | Fire Serpent (Factory New),AK-47 | Fire Serpent,Factory New,3075.93,3242.11,3174.77,4,AK-47,The Bravo Collection,Covert,0.06,0.76,
AK-47 | Fire Serpent (Field-Tested),AK-47 | Fire Serpent,Field-Tested,837.79,994.99,1312.06,36,AK-47,The Bravo Collection,Covert,0.06,0.76,
AK-47 | Fire Serpent (Minimal Wear),AK-47 | Fire Serpent,Minimal Wear,1464.86,1762.58,1793.74,10,AK-47,The Bravo Collection,Covert,0.06,0.76,
AK-47 | Fire Serpent (Well-Worn),AK-47 | Fire Serpent,Well-Worn,,841.69,,0,AK-47,The Bravo Collection,Covert,0.06,0.76,
AK-47 | First Class (Battle-Scarred),AK-47 | First Class,Battle-Scarred,90.75,93.49,120.22,2,AK-47,The Baggage Collection,Restricted,0.0,1.0,Classified
AK-47 | First Class (Factory New),AK-47 | First Class,Factory New,196.81,196.73,196.81,1,AK-47,The Baggage Collection,Restricted,0.0,1.0,Classified
AK-47 | First Class (Field-Tested),AK-47 | First Class,Field-Tested,86.68,100.73,122.11,5,AK-47,The Baggage Collection,Restricted,0.0,1.0,Classified
AK-47 | First Class (Minimal Wear),AK-47 | First Class,Minimal Wear,112.02,117.74,112.02,1,AK-47,The Baggage Collection,Restricted,0.0,1.0,Classified
AK-47 | First Class (Well-Worn),AK-47 | First Class,Well-Worn,98.41,87.92,107.8,3,AK-47,The Baggage Collection,Restricted,0.0,1.0,Classified
AK-47 | Frontside Misty (Battle-Scarred),AK-47 | Frontside Misty,Battle-Scarred,12.87,14.94,16.67,21,AK-47,The Shadow Collection,Classified,0.02,0.87,Covert
AK-47 | Frontside Misty (Factory New),AK-47 | Frontside Misty,Factory New,87.47,107.35,122.39,20,AK-47,The Shadow Collection,Classified,0.02,0.87,Covert
AK-47 | Frontside Misty (Field-Tested),AK-47 | Frontside Misty,Field-Tested,13.54,16.04,22.28,203,AK-47,The Shadow Collection,Classified,0.02,0.87,Covert
AK-47 | Frontside Misty (Minimal Wear),AK-47 | Frontside Misty,Minimal Wear,27.99,32.93,52.99,107,AK-47,The Shadow Collection,Classified,0.02,0.87,Covert
AK-47 | Frontside Misty (Well-Worn),AK-47 | Frontside Misty,Well-Worn,12.11,16.11,25.56,31,AK-47,The Shadow Collection,Classified,0.02,0.87,Covert
AK-47 | Fuel Injector (Battle-Scarred),AK-47 | Fuel Injector,Battle-Scarred,143.86,176.74,173.27,7,AK-47,The Wildfire Collection,Covert,0.0,1.0,
AK-47 | Fuel Injector (Factory New),AK-47 | Fuel Injector,Factory New,678.0,704.64,758.0,7,AK-47,The Wildfire Collection,Covert,0.0,1.0,
AK-47 | Fuel Injector (Field-Tested),AK-47 | Fuel Injector,Field-Tested,201.94,253.92,263.01,26,AK-47,The Wildfire Collection,Covert,0.0,1.0,
AK-47 | Fuel Injector (Minimal Wear),AK-47 | Fuel Injector,Minimal Wear,271.34,355.0,332.12,18,AK-47,The Wildfire Collection,Covert,0.0,1.0,
AK-47 | Fuel Injector (Well-Worn),AK-47 | Fuel Injector,Well-Worn,172.34,205.18,198.8,8,AK-47,The Wildfire Collection,Covert,0.0,1.0,
AK-47 | Gold Arabesque (Battle-Scarred),AK-47 | Gold Arabesque,Battle-Scarred,1728.67,1834.85,2842.89,3,AK-47,The 2021 Dust 2 Collection,Covert,0.0,0.7,
AK-47 | Gold Arabesque (Factory New),AK-47 | Gold Arabesque,Factory New,4308.4,5199.54,5475.5,9,AK-47,The 2021 Dust 2 Collection,Covert,0.0,0.7,
AK-47 | Gold Arabesque (Field-Tested),AK-47 | Gold Arabesque,Field-Tested,2189.99,2570.3,2393.32,5,AK-47,The 2021 Dust 2 Collection,Covert,0.0,0.7,
AK-47 | Gold Arabesque (Minimal Wear),AK-47 | Gold Arabesque,Minimal Wear,2799.0,3504.36,3333.0,3,AK-47,The 2021 Dust 2 Collection,Covert,0.0,0.7,
AK-47 | Gold Arabesque (Well-Worn),AK-47 | Gold Arabesque,Well-Worn,2162.28,1974.96,2162.28,1,AK-47,The 2021 Dust 2 Collection,Covert,0.0,0.7,
AK-47 | Green Laminate (Factory New),AK-47 | Green Laminate,Factory New,29.45,31.87,55.07,24,AK-47,The 2021 Vertigo Collection,Mil-Spec Grade,0.02,0.4,
AK-47 | Green Laminate (Field-Tested),AK-47 | Green Laminate,Field-Tested,15.5,19.04,25.14,24,AK-47,The 2021 Vertigo Collection,Mil-Spec Grade,0.02,0.4,
AK-47 | Green Laminate (Minimal Wear),AK-47 | Green Laminate,Minimal Wear,17.2,20.72,540.02,20,AK-47,The 2021 Vertigo Collection,Mil-Spec Grade,0.02,0.4,
AK-47 | Green Laminate (Well-Worn),AK-47 | Green Laminate,Well-Worn,,29.45,,0,AK-47,The 2021 Vertigo Collection,Mil-Spec Grade,0.02,0.4,
AK-47 | Head Shot (Battle-Scarred),AK-47 | Head Shot,Battle-Scarred,3.84,4.06,6.75,54,AK-47,The Revolution Collection,Covert,0.0,1.0,
AK-47 | Head Shot (Factory New),AK-47 | Head Shot,Factory New,45.26,57.62,94.2,45,AK-47,The Revolution Collection,Covert,0.0,1.0,
AK-47 | Head Shot (Field-Tested),AK-47 | Head Shot,Field-Tested,5.68,6.7,13.83,287,AK-47,The Revolution Collection,Covert,0.0,1.0,
AK-47 | Head Shot (Minimal Wear),AK-47 | Head Shot,Minimal Wear,13.1,15.44,26.24,162,AK-47,The Revolution Collection,Covert,0.0,1.0,
AK-47 | Head Shot (Well-Worn),AK-47 | Head Shot,Well-Worn,4.22,4.68,14.2,128,AK-47,The Revolution Collection,Covert,0.0,1.0,
AK-47 | Hydroponic (Battle-Scarred),AK-47 | Hydroponic,Battle-Scarred,,870.68,,0,AK-47,The Rising Sun Collection,Classified,0.0,0.8,Covert
AK-47 | Hydroponic (Factory New),AK-47 | Hydroponic,Factory New,4307.54,4616.85,4915.15,4,AK-47,The Rising Sun Collection,Classified,0.0,0.8,Covert
AK-47 | Hydroponic (Field-Tested),AK-47 | Hydroponic,Field-Tested,1280.05,1545.33,1600.31,3,AK-47,The Rising Sun Collection,Classified,0.0,0.8,Covert
AK-47 | Hydroponic (Minimal Wear),AK-47 | Hydroponic,Minimal Wear,2300.0,2798.8,2380.88,3,AK-47,The Rising Sun Collection,Classified,0.0,0.8,Covert
AK-47 | Hydroponic (Well-Worn),AK-47 | Hydroponic,Well-Worn,1100.0,1221.05,1100.0,1,AK-47,The Rising Sun Collection,Classified,0.0,0.8,Covert
AK-47 | Ice Coaled (Battle-Scarred),AK-47 | Ice Coaled,Battle-Scarred,2.75,3.29,6.13,60,AK-47,The Recoil Collection,Classified,0.0,0.77,Covert
AK-47 | Ice Coaled (Factory New),AK-47 | Ice Coaled,Factory New,12.36,14.76,33.58,136,AK-47,The Recoil Collection,Classified,0.0,0.77,Covert
AK-47 | Ice Coaled (Field-Tested),AK-47 | Ice Coaled,Field-Tested,3.38,4.05,8.31,427,AK-47,The Recoil Collection,Classified,0.0,0.77,Covert
AK-47 | Ice Coaled (Minimal Wear),AK-47 | Ice Coaled,Minimal Wear,6.58,7.72,21.39,289,AK-47,The Recoil Collection,Classified,0.0,0.77,Covert
AK-47 | Ice Coaled (Well-Worn),AK-47 | Ice Coaled,Well-Worn,3.42,4.57,7.73,32,AK-47,The Recoil Collection,Classified,0.0,0.77,Covert
AK-47 | Inheritance (Battle-Scarred),AK-47 | Inheritance,Battle-Scarred,46.01,58.34,66.6,47,AK-47,The Kilowatt Collection,Covert,0.0,0.797346,
AK-47 | Inheritance (Factory New),AK-47 | Inheritance,Factory New,187.9,223.74,235.31,37,AK-47,The Kilowatt Collection,Covert,0.0,0.797346,
AK-47 | Inheritance (Field-Tested),AK-47 | Inheritance,Field-Tested,65.0,76.65,93.19,131,AK-47,The Kilowatt Collection,Covert,0.0,0.797346,
AK-47 | Inheritance (Minimal Wear),AK-47 | Inheritance,Minimal Wear,114.0,139.31,136.53,86,AK-47,The Kilowatt Collection,Covert,0.0,0.797346,
AK-47 | Inheritance (Well-Worn),AK-47 | Inheritance,Well-Worn,65.28,73.66,92.97,15,AK-47,The Kilowatt Collection,Covert,0.0,0.797346,
AK-47 | Jaguar (Battle-Scarred),AK-47 | Jaguar,Battle-Scarred,66.94,69.85,76.45,5,AK-47,The eSports 2014 Summer Collection,Covert,0.0,1.0,
AK-47 | Jaguar (Factory New),AK-47 | Jaguar,Factory New,297.63,342.37,382.58,5,AK-47,The eSports 2014 Summer Collection,Covert,0.0,1.0,
AK-47 | Jaguar (Field-Tested),AK-47 | Jaguar,Field-Tested,77.0,91.09,94.8,29,AK-47,The eSports 2014 Summer Collection,Covert,0.0,1.0,
AK-47 | Jaguar (Minimal Wear),AK-47 | Jaguar,Minimal Wear,144.88,170.44,181.46,26,AK-47,The eSports 2014 Summer Collection,Covert,0.0,1.0,
AK-47 | Jaguar (Well-Worn),AK-47 | Jaguar,Well-Worn,65.31,72.16,89.82,4,AK-47,The eSports 2014 Summer Collection,Covert,0.0,1.0,
AK-47 | Jet Set (Battle-Scarred),AK-47 | Jet Set,Battle-Scarred,,261.67,,0,AK-47,The Baggage Collection,Classified,0.0,1.0,Covert
AK-47 | Jet Set (Factory New),AK-47 | Jet Set,Factory New,839.08,798.14,948.14,4,AK-47,The Baggage Collection,Classified,0.0,1.0,Covert
AK-47 | Jet Set (Field-Tested),AK-47 | Jet Set,Field-Tested,336.06,333.63,336.06,1,AK-47,The Baggage Collection,Classified,0.0,1.0,Covert
AK-47 | Jet Set (Minimal Wear),AK-47 | Jet Set,Minimal Wear,429.94,458.5,457.16,6,AK-47,The Baggage Collection,Classified,0.0,1.0,Covert
AK-47 | Jet Set (Well-Worn),AK-47 | Jet Set,Well-Worn,,270.76,,0,AK-47,The Baggage Collection,Classified,0.0,1.0,Covert
AK-47 | Jungle Spray (Battle-Scarred),AK-47 | Jungle Spray,Battle-Scarred,4.13,4.21,11.47,7,AK-47,The Aztec Collection,Industrial Grade,0.06,0.8,Mil-Spec
AK-47 | Jungle Spray (Factory New),AK-47 | Jungle Spray,Factory New,,130.42,,0,AK-47,The Aztec Collection,Industrial Grade,0.06,0.8,Mil-Spec
AK-47 | Jungle Spray (Field-Tested),AK-47 | Jungle Spray,Field-Tested,3.89,4.64,133.93,27,AK-47,The Aztec Collection,Industrial Grade,0.06,0.8,Mil-Spec
AK-47 | Jungle Spray (Minimal Wear),AK-47 | Jungle Spray,Minimal Wear,9.69,11.76,82.81,20,AK-47,The Aztec Collection,Industrial Grade,0.06,0.8,Mil-Spec
AK-47 | Jungle Spray (Well-Worn),AK-47 | Jungle Spray,Well-Worn,10.0,4.3,22.5,2,AK-47,The Aztec Collection,Industrial Grade,0.06,0.8,Mil-Spec
AK-47 | Leet Museo (Battle-Scarred),AK-47 | Leet Museo,Battle-Scarred,43.8,43.22,43.83,2,AK-47,The Operation Riptide Collection,Covert,0.0,0.65,
AK-47 | Leet Museo (Factory New),AK-47 | Leet Museo,Factory New,335.5,405.2,373.82,13,AK-47,The Operation Riptide Collection,Covert,0.0,0.65,
AK-47 | Leet Museo (Field-Tested),AK-47 | Leet Museo,Field-Tested,81.89,112.18,103.75,43,AK-47,The Operation Riptide Collection,Covert,0.0,0.65,
AK-47 | Leet Museo (Minimal Wear),AK-47 | Leet Museo,Minimal Wear,150.42,209.01,185.48,25,AK-47,The Operation Riptide Collection,Covert,0.0,0.65,
AK-47 | Leet Museo (Well-Worn),AK-47 | Leet Museo,Well-Worn,76.32,53.49,92.11,5,AK-47,The Operation Riptide Collection,Covert,0.0,0.65,
AK-47 | Legion of Anubis (Battle-Scarred),AK-47 | Legion of Anubis,Battle-Scarred,4.36,4.7,6.92,29,AK-47,The Fracture Collection,Covert,0.0,0.7,
AK-47 | Legion of Anubis (Factory New),AK-47 | Legion of Anubis,Factory New,18.09,21.84,50.89,77,AK-47,The Fracture Collection,Covert,0.0,0.7,
AK-47 | Legion of Anubis (Field-Tested),AK-47 | Legion of Anubis,Field-Tested,4.63,5.62,8.32,415,AK-47,The Fracture Collection,Covert,0.0,0.7,
AK-47 | Legion of Anubis (Minimal Wear),AK-47 | Legion of Anubis,Minimal Wear,7.55,8.91,12.54,302,AK-47,The Fracture Collection,Covert,0.0,0.7,
AK-47 | Legion of Anubis (Well-Worn),AK-47 | Legion of Anubis,Well-Worn,5.97,6.95,9.42,38,AK-47,The Fracture Collection,Covert,0.0,0.7,
AK-47 | Midnight Laminate (Battle-Scarred),AK-47 | Midnight Laminate,Battle-Scarred,12.0,12.3,30.91,9,AK-47,The Ascent Collection,Restricted,0.0,0.75,Classified
AK-47 | Midnight Laminate (Factory New),AK-47 | Midnight Laminate,Factory New,73.24,80.31,90.99,55,AK-47,The Ascent Collection,Restricted,0.0,0.75,Classified
AK-47 | Midnight Laminate (Field-Tested),AK-47 | Midnight Laminate,Field-Tested,14.06,15.13,20.84,73,AK-47,The Ascent Collection,Restricted,0.0,0.75,Classified
AK-47 | Midnight Laminate (Minimal Wear),AK-47 | Midnight Laminate,Minimal Wear,46.42,44.22,55.18,67,AK-47,The Ascent Collection,Restricted,0.0,0.75,Classified
AK-47 | Midnight Laminate (Well-Worn),AK-47 | Midnight Laminate,Well-Worn,34.88,14.15,34.88,1,AK-47,The Ascent Collection,Restricted,0.0,0.75,Classified
AK-47 | Neon Revolution (Battle-Scarred),AK-47 | Neon Revolution,Battle-Scarred,18.0,22.88,23.47,24,AK-47,The Gamma 2 Collection,Covert,0.0,0.8,
AK-47 | Neon Revolution (Factory New),AK-47 | Neon Revolution,Factory New,145.0,177.59,187.5,11,AK-47,The Gamma 2 Collection,Covert,0.0,0.8,
AK-47 | Neon Revolution (Field-Tested),AK-47 | Neon Revolution,Field-Tested,20.0,23.5,37.73,105,AK-47,The Gamma 2 Collection,Covert,0.0,0.8,
AK-47 | Neon Revolution (Minimal Wear),AK-47 | Neon Revolution,Minimal Wear,38.48,47.5,46.87,53,AK-47,The Gamma 2 Collection,Covert,0.0,0.8,
AK-47 | Neon Revolution (Well-Worn),AK-47 | Neon Revolution,Well-Worn,23.49,28.91,30.03,8,AK-47,The Gamma 2 Collection,Covert,0.0,0.8,
AK-47 | Neon Rider (Battle-Scarred),AK-47 | Neon Rider,Battle-Scarred,35.94,42.76,39.75,17,AK-47,The Horizon Collection,Covert,0.0,0.8,
AK-47 | Neon Rider (Factory New),AK-47 | Neon Rider,Factory New,205.3,248.25,282.98,21,AK-47,The Horizon Collection,Covert,0.0,0.8,
AK-47 | Neon Rider (Field-Tested),AK-47 | Neon Rider,Field-Tested,38.37,44.24,78.53,87,AK-47,The Horizon Collection,Covert,0.0,0.8,
AK-47 | Neon Rider (Minimal Wear),AK-47 | Neon Rider,Minimal Wear,76.18,92.39,95.76,66,AK-47,The Horizon Collection,Covert,0.0,0.8,
AK-47 | Neon Rider (Well-Worn),AK-47 | Neon Rider,Well-Worn,40.0,49.25,45.2,13,AK-47,The Horizon Collection,Covert,0.0,0.8,
AK-47 | Nightwish (Battle-Scarred),AK-47 | Nightwish,Battle-Scarred,4.3,4.47,10.28,48,AK-47,The Dreams & Nightmares Collection,Covert,0.0,1.0,
AK-47 | Nightwish (Factory New),AK-47 | Nightwish,Factory New,63.08,83.0,278.88,51,AK-47,The Dreams & Nightmares Collection,Covert,0.0,1.0,
AK-47 | Nightwish (Field-Tested),AK-47 | Nightwish,Field-Tested,5.98,7.67,10.37,368,AK-47,The Dreams & Nightmares Collection,Covert,0.0,1.0,
AK-47 | Nightwish (Minimal Wear),AK-47 | Nightwish,Minimal Wear,13.17,16.08,24.63,181,AK-47,The Dreams & Nightmares Collection,Covert,0.0,1.0,
AK-47 | Nightwish (Well-Worn),AK-47 | Nightwish,Well-Worn,4.88,5.9,33.7,133,AK-47,The Dreams & Nightmares Collection,Covert,0.0,1.0,
AK-47 | Nouveau Rouge (Battle-Scarred),AK-47 | Nouveau Rouge,Battle-Scarred,27.99,31.98,32.04,6,AK-47,The Radiant Collection,Classified,0.0,1.0,Covert
AK-47 | Nouveau Rouge (Factory New),AK-47 | Nouveau Rouge,Factory New,359.03,382.18,412.67,4,AK-47,The Radiant Collection,Classified,0.0,1.0,Covert
AK-47 | Nouveau Rouge (Field-Tested),AK-47 | Nouveau Rouge,Field-Tested,70.0,86.05,79.54,19,AK-47,The Radiant Collection,Classified,0.0,1.0,Covert
AK-47 | Nouveau Rouge (Minimal Wear),AK-47 | Nouveau Rouge,Minimal Wear,168.0,180.77,185.11,19,AK-47,The Radiant Collection,Classified,0.0,1.0,Covert
AK-47 | Nouveau Rouge (Well-Worn),AK-47 | Nouveau Rouge,Well-Worn,29.45,32.38,35.38,13,AK-47,The Radiant Collection,Classified,0.0,1.0,Covert
AK-47 | Olive Polycam (Battle-Scarred),AK-47 | Olive Polycam,Battle-Scarred,0.2,0.16,0.43,14,AK-47,The Sport & Field Collection,Industrial Grade,0.0,0.5,Mil-Spec
AK-47 | Olive Polycam (Factory New),AK-47 | Olive Polycam,Factory New,0.57,0.59,3.19,314,AK-47,The Sport & Field Collection,Industrial Grade,0.0,0.5,Mil-Spec
