ROI,Expected Value,Cost,Input Skins,Output Breakdown
139.39%,£163.23,£117.10,"[['P2000 | Corticera (Minimal Wear)', 'The eSports 2014 Summer Collection', 'Classified', 0.11, np.float64(11.71)], ['P2000 | Corticera (Minimal Wear)', 'The eSports 2014 Summer Collection', 'Classified', 0.11, np.float64(11.71)], ['P2000 | Corticera (Minimal Wear)', 'The eSports 2014 Summer Collection', 'Classified', 0.11, np.float64(11.71)], ['P2000 | Corticera (Minimal Wear)', 'The eSports 2014 Summer Collection', 'Classified', 0.11, np.float64(11.71)], ['P2000 | Corticera (Minimal Wear)', 'The eSports 2014 Summer Collection', 'Classified', 0.11, np.float64(11.71)], ['P2000 | Corticera (Minimal Wear)', 'The eSports 2014 Summer Collection', 'Classified', 0.11, np.float64(11.71)], ['P2000 | Corticera (Minimal Wear)', 'The eSports 2014 Summer Collection', 'Classified', 0.11, np.float64(11.71)], ['P2000 | Corticera (Minimal Wear)', 'The eSports 2014 Summer Collection', 'Classified', 0.11, np.float64(11.71)], ['P2000 | Corticera (Minimal Wear)', 'The eSports 2014 Summer Collection', 'Classified', 0.11, np.float64(11.71)], ['P2000 | Corticera (Minimal Wear)', 'The eSports 2014 Summer Collection', 'Classified', 0.11, np.float64(11.71)]]",AK-47 | Jaguar (Minimal Wear) @ 0.1100 (50.00%) → £144.88; M4A4 | Bullet Rain (Factory New) @ 0.0684 (50.00%) → £181.58
139.39%,£163.23,£117.10,"[['P2000 | Corticera (Minimal Wear)', 'The eSports 2014 Summer Collection', 'Classified', 0.11, np.float64(11.71)], ['P2000 | Corticera (Minimal Wear)', 'The eSports 2014 Summer Collection', 'Classified', 0.11, np.float64(11.71)], ['P2000 | Corticera (Minimal Wear)', 'The eSports 2014 Summer Collection', 'Classified', 0.11, np.float64(11.71)], ['P2000 | Corticera (Minimal Wear)', 'The eSports 2014 Summer Collection', 'Classified', 0.11, np.float64(11.71)], ['P2000 | Corticera (Minimal Wear)', 'The eSports 2014 Summer Collection', 'Classified', 0.11, np.float64(11.71)], ['P2000 | Corticera (Minimal Wear)', 'The eSports 2014 Summer Collection', 'Classified', 0.11, np.float64(11.71)], ['P2000 | Corticera (Minimal Wear)', 'The eSports 2014 Summer Collection', 'Classified', 0.11, np.float64(11.71)], ['P2000 | Corticera (Minimal Wear)', 'The eSports 2014 Summer Collection', 'Classified', 0.11, np.float64(11.71)], ['P2000 | Corticera (Minimal Wear)', 'The eSports 2014 Summer Collection', 'Classified', 0.11, np.float64(11.71)], ['P2000 | Corticera (Minimal Wear)', 'The eSports 2014 Summer Collection', 'Classified', 0.11, np.float64(11.71)]]",AK-47 | Jaguar (Minimal Wear) @ 0.1100 (50.00%) → £144.88; M4A4 | Bullet Rain (Factory New) @ 0.0684 (50.00%) → £181.58
139.39%,£163.23,£117.10,"[['P2000 | Corticera (Minimal Wear)', 'The eSports 2014 Summer Collection', 'Classified', 0.11, np.float64(11.71)], ['P2000 | Corticera (Minimal Wear)', 'The eSports 2014 Summer Collection', 'Classified', 0.11, np.float64(11.71)], ['P2000 | Corticera (Minimal Wear)', 'The eSports 2014 Summer Collection', 'Classified', 0.11, np.float64(11.71)], ['P2000 | Corticera (Minimal Wear)', 'The eSports 2014 Summer Collection', 'Classified', 0.11, np.float64(11.71)], ['P2000 | Corticera (Minimal Wear)', 'The eSports 2014 Summer Collection', 'Classified', 0.11, np.float64(11.71)], ['P2000 | Corticera (Minimal Wear)', 'The eSports 2014 Summer Collection', 'Classified', 0.11, np.float64(11.71)], ['P2000 | Corticera (Minimal Wear)', 'The eSports 2014 Summer Collection', 'Classified', 0.11, np.float64(11.71)], ['P2000 | Corticera (Minimal Wear)', 'The eSports 2014 Summer Collection', 'Classified', 0.11, np.float64(11.71)], ['P2000 | Corticera (Minimal Wear)', 'The eSports 2014 Summer Collection', 'Classified', 0.11, np.float64(11.71)], ['P2000 | Corticera (Minimal Wear)', 'The eSports 2014 Summer Collection', 'Classified', 0.11, np.float64(11.71)]]",AK-47 | Jaguar (Minimal Wear) @ 0.1100 (50.00%) → £144.88; M4A4 | Bullet Rain (Factory New) @ 0.0684 (50.00%) → £181.58
138.83%,£13.05,£9.40,"[['Five-SeveN | Buddy (Minimal Wear)', 'The CS20 Collection', 'Restricted', 0.11, np.float64(0.94)], ['Five-SeveN | Buddy (Minimal Wear)', 'The CS20 Collection', 'Restricted', 0.11, np.float64(0.94)], ['Five-SeveN | Buddy (Minimal Wear)', 'The CS20 Collection', 'Restricted', 0.11, np.float64(0.94)], ['Five-SeveN | Buddy (Minimal Wear)', 'The CS20 Collection', 'Restricted', 0.11, np.float64(0.94)], ['Five-SeveN | Buddy (Minimal Wear)', 'The CS20 Collection', 'Restricted', 0.11, np.float64(0.94)], ['Five-SeveN | Buddy (Minimal Wear)', 'The CS20 Collection', 'Restricted', 0.11, np.float64(0.94)], ['Five-SeveN | Buddy (Minimal Wear)', 'The CS20 Collection', 'Restricted', 0.11, np.float64(0.94)], ['Five-SeveN | Buddy (Minimal Wear)', 'The CS20 Collection', 'Restricted', 0.11, np.float64(0.94)], ['Five-SeveN | Buddy (Minimal Wear)', 'The CS20 Collection', 'Restricted', 0.11, np.float64(0.94)], ['Five-SeveN | Buddy (Minimal Wear)', 'The CS20 Collection', 'Restricted', 0.11, np.float64(0.94)]]",AUG | Death by Puppy (Factory New) @ 0.0440 (33.33%) → £15.56; MP9 | Hydra (Minimal Wear) @ 0.1100 (33.33%) → £9.75; P90 | Nostalgia (Factory New) @ 0.0627 (33.33%) → £13.84
138.83%,£13.05,£9.40,"[['Five-SeveN | Buddy (Minimal Wear)', 'The CS20 Collection', 'Restricted', 0.11, np.float64(0.94)], ['Five-SeveN | Buddy (Minimal Wear)', 'The CS20 Collection', 'Restricted', 0.11, np.float64(0.94)], ['Five-SeveN | Buddy (Minimal Wear)', 'The CS20 Collection', 'Restricted', 0.11, np.float64(0.94)], ['Five-SeveN | Buddy (Minimal Wear)', 'The CS20 Collection', 'Restricted', 0.11, np.float64(0.94)], ['Five-SeveN | Buddy (Minimal Wear)', 'The CS20 Collection', 'Restricted', 0.11, np.float64(0.94)], ['Five-SeveN | Buddy (Minimal Wear)', 'The CS20 Collection', 'Restricted', 0.11, np.float64(0.94)], ['Five-SeveN | Buddy (Minimal Wear)', 'The CS20 Collection', 'Restricted', 0.11, np.float64(0.94)], ['Five-SeveN | Buddy (Minimal Wear)', 'The CS20 Collection', 'Restricted', 0.11, np.float64(0.94)], ['Five-SeveN | Buddy (Minimal Wear)', 'The CS20 Collection', 'Restricted', 0.11, np.float64(0.94)], ['Five-SeveN | Buddy (Minimal Wear)', 'The CS20 Collection', 'Restricted', 0.11, np.float64(0.94)]]",AUG | Death by Puppy (Factory New) @ 0.0440 (33.33%) → £15.56; MP9 | Hydra (Minimal Wear) @ 0.1100 (33.33%) → £9.75; P90 | Nostalgia (Factory New) @ 0.0627 (33.33%) → £13.84
138.83%,£13.05,£9.40,"[['Five-SeveN | Buddy (Minimal Wear)', 'The CS20 Collection', 'Restricted', 0.11, np.float64(0.94)], ['Five-SeveN | Buddy (Minimal Wear)', 'The CS20 Collection', 'Restricted', 0.11, np.float64(0.94)], ['Five-SeveN | Buddy (Minimal Wear)', 'The CS20 Collection', 'Restricted', 0.11, np.float64(0.94)], ['Five-SeveN | Buddy (Minimal Wear)', 'The CS20 Collection', 'Restricted', 0.11, np.float64(0.94)], ['Five-SeveN | Buddy (Minimal Wear)', 'The CS20 Collection', 'Restricted', 0.11, np.float64(0.94)], ['Five-SeveN | Buddy (Minimal Wear)', 'The CS20 Collection', 'Restricted', 0.11, np.float64(0.94)], ['Five-SeveN | Buddy (Minimal Wear)', 'The CS20 Collection', 'Restricted', 0.11, np.float64(0.94)], ['Five-SeveN | Buddy (Minimal Wear)', 'The CS20 Collection', 'Restricted', 0.11, np.float64(0.94)], ['Five-SeveN | Buddy (Minimal Wear)', 'The CS20 Collection', 'Restricted', 0.11, np.float64(0.94)], ['Five-SeveN | Buddy (Minimal Wear)', 'The CS20 Collection', 'Restricted', 0.11, np.float64(0.94)]]",AUG | Death by Puppy (Factory New) @ 0.0440 (33.33%) → £15.56; MP9 | Hydra (Minimal Wear) @ 0.1100 (33.33%) → £9.75; P90 | Nostalgia (Factory New) @ 0.0627 (33.33%) → £13.84
138.83%,£13.05,£9.40,"[['Five-SeveN | Buddy (Minimal Wear)', 'The CS20 Collection', 'Restricted', 0.11, np.float64(0.94)], ['Five-SeveN | Buddy (Minimal Wear)', 'The CS20 Collection', 'Restricted', 0.11, np.float64(0.94)], ['Five-SeveN | Buddy (Minimal Wear)', 'The CS20 Collection', 'Restricted', 0.11, np.float64(0.94)], ['Five-SeveN | Buddy (Minimal Wear)', 'The CS20 Collection', 'Restricted', 0.11, np.float64(0.94)], ['Five-SeveN | Buddy (Minimal Wear)', 'The CS20 Collection', 'Restricted', 0.11, np.float64(0.94)], ['Five-SeveN | Buddy (Minimal Wear)', 'The CS20 Collection', 'Restricted', 0.11, np.float64(0.94)], ['Five-SeveN | Buddy (Minimal Wear)', 'The CS20 Collection', 'Restricted', 0.11, np.float64(0.94)], ['Five-SeveN | Buddy (Minimal Wear)', 'The CS20 Collection', 'Restricted', 0.11, np.float64(0.94)], ['Five-SeveN | Buddy (Minimal Wear)', 'The CS20 Collection', 'Restricted', 0.11, np.float64(0.94)], ['Five-SeveN | Buddy (Minimal Wear)', 'The CS20 Collection', 'Restricted', 0.11, np.float64(0.94)]]",AUG | Death by Puppy (Factory New) @ 0.0440 (33.33%) → £15.56; MP9 | Hydra (Minimal Wear) @ 0.1100 (33.33%) → £9.75; P90 | Nostalgia (Factory New) @ 0.0627 (33.33%) → £13.84
138.83%,£13.05,£9.40,"[['Five-SeveN | Buddy (Minimal Wear)', 'The CS20 Collection', 'Restricted', 0.11, np.float64(0.94)], ['Five-SeveN | Buddy (Minimal Wear)', 'The CS20 Collection', 'Restricted', 0.11, np.float64(0.94)], ['Five-SeveN | Buddy (Minimal Wear)', 'The CS20 Collection', 'Restricted', 0.11, np.float64(0.94)], ['Five-SeveN | Buddy (Minimal Wear)', 'The CS20 Collection', 'Restricted', 0.11, np.float64(0.94)], ['Five-SeveN | Buddy (Minimal Wear)', 'The CS20 Collection', 'Restricted', 0.11, np.float64(0.94)], ['Five-SeveN | Buddy (Minimal Wear)', 'The CS20 Collection', 'Restricted', 0.11, np.float64(0.94)], ['Five-SeveN | Buddy (Minimal Wear)', 'The CS20 Collection', 'Restricted', 0.11, np.float64(0.94)], ['Five-SeveN | Buddy (Minimal Wear)', 'The CS20 Collection', 'Restricted', 0.11, np.float64(0.94)], ['Five-SeveN | Buddy (Minimal Wear)', 'The CS20 Collection', 'Restricted', 0.11, np.float64(0.94)], ['Five-SeveN | Buddy (Minimal Wear)', 'The CS20 Collection', 'Restricted', 0.11, np.float64(0.94)]]",AUG | Death by Puppy (Factory New) @ 0.0440 (33.33%) → £15.56; MP9 | Hydra (Minimal Wear) @ 0.1100 (33.33%) → £9.75; P90 | Nostalgia (Factory New) @ 0.0627 (33.33%) → £13.84
136.29%,£33.25,£24.40,"[[""Nova | Sobek's Bite (Well-Worn)"", 'The Anubis Collection', 'Restricted', 0.415, np.float64(2.44)], [""Nova | Sobek's Bite (Well-Worn)"", 'The Anubis Collection', 'Restricted', 0.415, np.float64(2.44)], [""Nova | Sobek's Bite (Well-Worn)"", 'The Anubis Collection', 'Restricted', 0.415, np.float64(2.44)], [""Nova | Sobek's Bite (Well-Worn)"", 'The Anubis Collection', 'Restricted', 0.415, np.float64(2.44)], [""Nova | Sobek's Bite (Well-Worn)"", 'The Anubis Collection', 'Restricted', 0.415, np.float64(2.44)], [""Nova | Sobek's Bite (Well-Worn)"", 'The Anubis Collection', 'Restricted', 0.415, np.float64(2.44)], [""Nova | Sobek's Bite (Well-Worn)"", 'The Anubis Collection', 'Restricted', 0.415, np.float64(2.44)], [""Nova | Sobek's Bite (Well-Worn)"", 'The Anubis Collection', 'Restricted', 0.415, np.float64(2.44)], [""Nova | Sobek's Bite (Well-Worn)"", 'The Anubis Collection', 'Restricted', 0.415, np.float64(2.44)], [""Nova | Sobek's Bite (Well-Worn)"", 'The Anubis Collection', 'Restricted', 0.415, np.float64(2.44)]]",FAMAS | Waters of Nephthys (Field-Tested) @ 0.2905 (50.00%) → £26.53; P250 | Apep's Curse (Well-Worn) @ 0.4150 (50.00%) → £39.98
136.29%,£33.25,£24.40,"[[""Nova | Sobek's Bite (Well-Worn)"", 'The Anubis Collection', 'Restricted', 0.415, np.float64(2.44)], [""Nova | Sobek's Bite (Well-Worn)"", 'The Anubis Collection', 'Restricted', 0.415, np.float64(2.44)], [""Nova | Sobek's Bite (Well-Worn)"", 'The Anubis Collection', 'Restricted', 0.415, np.float64(2.44)], [""Nova | Sobek's Bite (Well-Worn)"", 'The Anubis Collection', 'Restricted', 0.415, np.float64(2.44)], [""Nova | Sobek's Bite (Well-Worn)"", 'The Anubis Collection', 'Restricted', 0.415, np.float64(2.44)], [""Nova | Sobek's Bite (Well-Worn)"", 'The Anubis Collection', 'Restricted', 0.415, np.float64(2.44)], [""Nova | Sobek's Bite (Well-Worn)"", 'The Anubis Collection', 'Restricted', 0.415, np.float64(2.44)], [""Nova | Sobek's Bite (Well-Worn)"", 'The Anubis Collection', 'Restricted', 0.415, np.float64(2.44)], [""Nova | Sobek's Bite (Well-Worn)"", 'The Anubis Collection', 'Restricted', 0.415, np.float64(2.44)], [""Nova | Sobek's Bite (Well-Worn)"", 'The Anubis Collection', 'Restricted', 0.415, np.float64(2.44)]]",FAMAS | Waters of Nephthys (Field-Tested) @ 0.2905 (50.00%) → £26.53; P250 | Apep's Curse (Well-Worn) @ 0.4150 (50.00%) → £39.98
136.29%,£33.25,£24.40,"[[""Nova | Sobek's Bite (Well-Worn)"", 'The Anubis Collection', 'Restricted', 0.415, np.float64(2.44)], [""Nova | Sobek's Bite (Well-Worn)"", 'The Anubis Collection', 'Restricted', 0.415, np.float64(2.44)], [""Nova | Sobek's Bite (Well-Worn)"", 'The Anubis Collection', 'Restricted', 0.415, np.float64(2.44)], [""Nova | Sobek's Bite (Well-Worn)"", 'The Anubis Collection', 'Restricted', 0.415, np.float64(2.44)], [""Nova | Sobek's Bite (Well-Worn)"", 'The Anubis Collection', 'Restricted', 0.415, np.float64(2.44)], [""Nova | Sobek's Bite (Well-Worn)"", 'The Anubis Collection', 'Restricted', 0.415, np.float64(2.44)], [""Nova | Sobek's Bite (Well-Worn)"", 'The Anubis Collection', 'Restricted', 0.415, np.float64(2.44)], [""Nova | Sobek's Bite (Well-Worn)"", 'The Anubis Collection', 'Restricted', 0.415, np.float64(2.44)], [""Nova | Sobek's Bite (Well-Worn)"", 'The Anubis Collection', 'Restricted', 0.415, np.float64(2.44)], [""Nova | Sobek's Bite (Well-Worn)"", 'The Anubis Collection', 'Restricted', 0.415, np.float64(2.44)]]",FAMAS | Waters of Nephthys (Field-Tested) @ 0.2905 (50.00%) → £26.53; P250 | Apep's Curse (Well-Worn) @ 0.4150 (50.00%) → £39.98
